Index	MapID	MapName	NpcName	PosX	PosY
Guide	ID khu vùc	Tªn b¶n ®å	Tªn Npc	Tung ®é	Hoµnh ®é
1	200	Bianjing	D· TÈu	147	176
2	200	Bianjing	Chñ TiÖm vò khÝ	173	174
3	200	Bianjing	Chñ D­îc ®iÕm	170	176
4	200	Bianjing	Chñ T¹p hãa	178	177
5	200	Bianjing	Chñ TiÖm Nam phôc	167	177
6	200	Bianjing	Chñ TiÖm N÷ phôc	181	177
7	200	Bianjing	Chñ Kim hoµn	165	181
8	200	Bianjing	Chñ tiÒn trang	179	180
9	200	Bianjing	Thñ khè (§«ng)	186	184
10	200	Bianjing	Thñ khè (Nam)	162	186
11	200	Bianjing	Thñ khè (T©y)	159	173
12	200	Bianjing	Xa phu	183	186
13	200	Bianjing	Xa phu	157	184
14	200	Bianjing	Xa phu	158	169
15	200	Bianjing	Qu¶n lý cöa hiÖu	178	175
16	200	Bianjing	M¹c §¹i	178	188
17	200	Bianjing	V©n Du §¹o Nh©n	169	187
18	200	Bianjing	Ngù Trï	197	180
19	200	Bianjing	L­u NhÊt Phñ	152	181
20	200	Bianjing	Thî s¨n Tr­¬ng	168	188
21	200	Bianjing	Bé ®Çu	174	166
22	200	Bianjing	LÔ quan	185	172
23	200	Bianjing	Chñ th­¬ng héi	170	182
24	200	Bianjing	Hµnh C­íc Th­¬ng Nh©n	177	183
25	200	Bianjing	Sø gi¶ m«n ph¸i	175	176
26	200	Bianjing	Messenger	144	177
27	200	Bianjing	Ch©n Tö §¬n	172	179
28	200	Bianjing	Sø gi¶ Tµng KiÕm	153	172
29	200	Bianjing	TriÖu Diªn Niªn	161	179
30	200	Bianjing	Tiªu ViÔn L©u	162	174
31	200	Bianjing	Sø gi¶ bang ph¸i	160	175
32	200	Bianjing	VÖ binh thµnh m«n	155	169
33	200	Bianjing	VÖ binh thµnh m«n	154	170
34	200	Bianjing	VÖ binh thµnh m«n	154	187
35	200	Bianjing	VÖ binh thµnh m«n	155	187
36	200	Bianjing	VÖ binh thµnh m«n	191	187
37	200	Bianjing	VÖ binh thµnh m«n	190	188
38	200	Bianjing	Tµo B©n	196	176
39	200	Bianjing	Binh Bé ThÞ Lang	194	176
40	200	Bianjing	Binh Bé Thñ vÖ	193	178
41	200	Bianjing	Binh Bé Thñ vÖ	193	178
42	200	Bianjing	TriÖu Phæ	175	166
43	200	Bianjing	ThÞ VÖ T­íng phñ	172	167
44	200	Bianjing	CÊm qu©n	183	172
45	200	Bianjing	CÊm qu©n	185	173
46	200	Bianjing	CÊm qu©n	182	172
47	200	Bianjing	CÊm qu©n	187	171
48	200	Bianjing	KhÊu ChuÈn	177	174
49	200	Bianjing	Chñ töu lÇu	185	179
50	200	Bianjing	TiÓu nhÞ	184	179
51	200	Bianjing	Nh©n sÜ giang hå	184	180
52	200	Bianjing	Tµo §¹i Lùc	187	180
53	200	Bianjing	Professor	166	175
54	200	Bianjing	Vâ s­	175	191
55	200	Bianjing	Hµng xãm Hµn TrÝ Nh­îng	153	182
56	200	Bianjing	Tiªu s­	172	171
57	200	Bianjing	Vò N­¬ng	158	177
58	200	Bianjing	ThÇy bãi	164	177
59	200	Bianjing	Quan viªn tho¸i nhiÖm	169	165
60	200	Bianjing	TiÓu ®ång	147	176
61	200	Bianjing	B¸ch HiÓu Sinh	177	185
62	200	Bianjing	Lý S­ S­	172	184
63	200	Bianjing	B¸n ngùa	193	181
64	300	Thµnh §«	D· TÈu	204	221
65	300	Thµnh §«	Chñ TiÖm vò khÝ	212	215
66	300	Thµnh §«	Chñ D­îc ®iÕm	217	224
67	300	Thµnh §«	Chñ T¹p hãa	216	218
68	300	Thµnh §«	Chñ TiÖm Nam phôc	216	215
69	300	Thµnh §«	Chñ TiÖm N÷ phôc	212	219
70	300	Thµnh §«	Chñ Kim hoµn	228	219
71	300	Thµnh §«	Chñ tiÒn trang	214	226
72	300	Thµnh §«	Thñ khè (B¾c)	240	216
73	300	Thµnh §«	Thñ khè (T©y)	211	216
74	300	Thµnh §«	Thñ khè (Nam)	210	228
75	300	Thµnh §«	Xa phu	236	226
76	300	Thµnh §«	Xa phu	209	218
77	300	Thµnh §«	Xa phu	213	230
78	300	Thµnh §«	Xa phu	235	215
79	300	Thµnh §«	Qu¶n lý cöa hiÖu	234	220
80	300	Thµnh §«	M¹c NhÞ	213	215
81	300	Thµnh §«	CÈm n­¬ng	225	229
82	300	Thµnh §«	Du Ph­¬ng ®¹i phu	215	225
83	300	Thµnh §«	§¹i Kho¸ng C«ng	229	214
84	300	Thµnh §«	Hoµng §¹i ThÈm	230	218
85	300	Thµnh §«	Bé ®Çu	222	217
86	300	Thµnh §«	LÔ quan	223	218
87	300	Thµnh §«	Chñ th­¬ng héi	237	218
88	300	Thµnh §«	Sø gi¶ Tµng KiÕm	222	231
